	Unnamed: 0	start	end	text	speaker	mention	character	round	transaction_unit	tu_relation	da	da_conf
0	0	0.0	5.0	" Hoi, mijn naam is Robin. Hoe heet jij?"	robot			0			statement	3.334437131881710
1	1	5.0	7.0	 Ik heet Patricia.	human			0			statement	4.148044109344480
2	2	7.0	12.0	" Oké, leuk dat je meedoet met dit spelletje."	robot			0			comment	1.5771044492721600
3	3	12.0	16.0	 Het gaat over mijn drie vrienden.	robot			0			statement	5.2363362312316900
4	4	16.0	19.0	 Ik zal ze aan je voorstellen.	robot			0			statement	4.214899063110350
5	5	19.0	22.0	 Zie je daar de tablet?	robot			0			statement	3.9596445560455300
6	6	22.0	25.0	 Op die standaard naast mij.	robot			0			statement	3.369055986404420
7	7	25.0	31.0	" Als je op de knop op het scherm drukt, dan zie je mijn vrienden."	robot			0			statement	5.191248416900640
8	8	31.0	34.0	 Kijk goed naar hun gezichten.	robot			0			statement	3.9267916679382300
9	9	34.0	37.0	 Die moet je een beetje onthouden.	robot			0			opinion	3.0842502117157000
10	10	37.0	42.0	 Deze vrienden gaan overal naartoe en maken dan een foto.	robot			0			statement	3.8145439624786400
11	11	42.0	47.0	 Soms staan ze ook op de foto met andere vrienden.	robot			0			statement	3.7170183658599900
12	12	47.0	51.0	 Wij krijgen allebei deze foto's te zien.	robot			0			statement	3.8256185054779100
13	13	51.0	55.0	 Maar ik heb een andere foto dan jij.	robot			0			statement	3.992851972579960
14	14	55.0	58.0	 Daar maken we een leuk spel van.	robot			0			statement	5.0199666023254400
15	15	58.0	62.0	 Zoek de verschillen.	robot			0			statement	2.694207191467290
16	16	62.0	68.0	 Op mijn foto kunnen deze vrienden op andere plekken staan dan op jouw foto.	robot			0			statement	5.741087436676030
17	17	68.0	73.0	 Wij gaan elke ronde samen uitzoeken wie waar staat.	robot			0			statement	5.317052841186520
18	18	73.0	75.0	 Is dat oké?	robot			0			yes_no_question	3.4582459926605200
19	19	75.0	76.0	 Ja.	human			0			pos_answer	5.4217610359191900
20	20	76.0	79.0	 Het werkt als volgt.	robot			0			back-channeling	2.9404990673065200
21	21	79.0	84.0	 Als je denkt dat een vriend die je ziet op een andere plek staat dan bij mij...	robot			0			opinion	4.3293304443359400
22	22	84.0	87.0	 kun je op het hoofd van die vriend drukken.	robot			0			statement	4.930155277252200
23	23	87.0	90.0	 Dat doe je op de tablet.	robot			0			statement	5.739253520965580
24	24	90.0	93.0	 Je ziet dan een menu.	robot			0			statement	2.2854251861572300
25	25	93.0	97.0	 Daar kun je aanklikken of die vriend op dezelfde plek staat...	robot			0			statement	2.463745355606080
26	26	97.0	101.0	 of dat die vriend juist op een andere plek staat.	robot			0			statement	4.034074306488040
27	27	101.0	104.0	 Zullen we het even proberen?	robot			0			yes_no_question	3.1969058513641400
28	28	104.0	105.0	 Ja.	human			0			pos_answer	5.604691505432130
